hr,proper,dist,mag,absmag,spect,ci,rarad,decrad,con
5499,N/A,103.7344,5.800,0.720,K0III,"rgb(255, 209, 198)",3.8663964325879436,-0.40409638965345873,Lib
5504,N/A,41.2541,6.430,3.353,G2V,"rgb(255, 220, 233)",3.8666957145645413,-0.3695903361086488,Lib
5511,N/A,41.2371,3.730,0.654,A0V,"rgb(208, 200, 0)",3.866989601444294,0.03303708233896875,Vir
5494,N/A,93.7207,5.740,0.881,A1V,"rgb(218, 205, 0)",3.8680135680605696,-0.82800367028844,Lup
5495,N/A,79.6813,5.220,0.713,G6III,"rgb(255, 209, 198)",3.870362160387937,-0.9142648591129338,Lup
5508,N/A,153.6098,5.900,-0.032,K3III,"rgb(255, 198, 171)",3.870637718718144,-0.6682977155666575,Cen
5498,N/A,862.0690,6.070,-3.608,A1III/IV,"rgb(220, 207, 0)",3.8711830793232513,-0.9111536092941,Lup
5513,N/A,505.0505,6.050,-2.467,K4/K5III,"rgb(255, 1, 143)",3.8712602663453612,-0.37218921237223124,Lib
5514,N/A,227.7904,5.610,-1.178,B9IV/V,"rgb(200, 195, 0)",3.8719078854178153,-0.4472278245335725,Hya
5509,N/A,231.4815,6.300,-0.523,K1III,"rgb(255, 206, 191)",3.8726018725539495,-0.7602096723555025,Lup
5516,N/A,109.7695,5.230,0.028,G8/K0III,"rgb(255, 210, 202)",3.873525755493747,-0.45531277333805376,Hya
5470,N/A,136.9863,3.830,-1.853,K5III,"rgb(255, 195, 164)",3.874029003471813,-1.3795911541338475,Aps
5518,N/A,112.7396,6.340,1.080,K0III,"rgb(255, 205, 189)",3.874263694759715,-0.22410039289968875,Lib
5517,N/A,137.1742,5.760,0.074,B9.5V,"rgb(207, 200, 0)",3.8744533652142517,-0.46506313257916126,Hya
5524,N/A,84.6740,6.150,1.511,F2V,"rgb(255, 223, 243)",3.8763290159138264,0.42528221531037375,Boo
5519,N/A,157.7287,5.890,-0.100,M5III,"rgb(255, 197, 169)",3.8773979790697104,-0.6393960810719075,Cen
5500,N/A,431.0345,5.910,-2.263,B2.5V,"rgb(189, 186, 0)",3.877871198265234,-1.162276936572135,Cir
5522,N/A,134.5895,6.150,0.505,B9Vsvar...,"rgb(204, 197, 0)",3.878564800419825,-0.014794366930196251,Lib
5529,N/A,40.6835,6.150,3.103,F2V,"rgb(253, 226, 0)",3.879487484437147,0.659929572211615,Boo
5515,N/A,82.6446,6.210,1.624,K3III,"rgb(255, 205, 188)",3.879511114958412,-0.98904019760568,Cir
5533,N/A,48.9956,5.760,2.309,F7IVw,"rgb(255, 224, 246)",3.8803520622042016,0.8048796219930513,Boo
5521,N/A,310.5590,5.680,-1.781,K3III+...,"rgb(255, 200, 175)",3.880357525305433,-0.4232680082411075,Lib
5523,N/A,72.9395,5.320,1.005,Ap,"rgb(218, 205, 0)",3.8803797958673267,-0.24694701540950123,Lib
5537,N/A,57.1102,6.490,2.706,F5IV,"rgb(255, 227, 254)",3.881348728377983,0.8966542289024162,Boo
5538,N/A,68.5871,5.680,1.499,F6V+...,"rgb(255, 224, 244)",3.881998886537311,0.8503384392132587,Boo
5532,N/A,98.4252,5.800,0.834,A4V,"rgb(216, 204, 0)",3.8832410315185046,0.4994404794567425,Boo
5534,N/A,18.1719,5.860,4.563,G2V,"rgb(255, 221, 236)",3.884506824619849,0.4173404102952063,Boo
5526,N/A,101.5228,4.420,-0.613,K3III,"rgb(255, 197, 169)",3.8846177244804565,-0.488000529810055,Hya
5596,N/A,43.2900,5.630,2.448,F9V,"rgb(255, 218, 227)",3.8847924625498678,1.44010509607407,UMi
5541,N/A,64.3501,5.470,1.427,K0III-IV,"rgb(255, 207, 194)",3.885515855676714,0.6505199311948037,Boo
5530,N/A,22.9779,5.150,3.343,F3V,"rgb(255, 227, 254)",3.8863525946866853,-0.27920445278858125,Lib
5563,Kochab,40.1445,2.070,-0.948,K4IIIvar,"rgb(255, 194, 162)",3.8864392902195473,1.2942577172364538,UMi
