hr,proper,ra,dec,dist,mag,absmag,spect,ci,con
5467,NaN,14.637560,54.023339,110.2536,5.830,0.618,A1V,0.007,Boo
5456,NaN,14.638711,-38.794184,221.2389,6.040,-0.684,K3III,1.422,Cen
5468,NaN,14.647289,44.404500,57.0125,5.390,1.610,A1V,0.030,Boo
5457,NaN,14.653027,-46.584480,35.0018,6.060,3.340,F7V,0.508,Lup
5458,NaN,14.656814,-49.055319,55.1876,6.370,2.661,F3IV,0.440,Lup
5460,NaN,14.660346,-60.838300,1.3248,1.350,5.739,K1V,0.900,Cen
5459,Rigil Kentaurus,14.660765,-60.833976,1.3248,-0.010,4.379,G2V,0.710,Cen
5472,NaN,14.672743,21.975868,116.2791,6.130,0.802,G0V,0.434,Boo
5461,NaN,14.675768,-56.440761,348.4321,6.300,-1.411,K0/K1II,1.173,Cen
5473,NaN,14.678442,13.534325,50.8130,5.930,2.400,F0V,0.238,Boo
5475,NaN,14.678768,16.418324,93.7207,4.490,-0.369,B9p MnHg,-0.002,Boo
