hr,proper,ra,dec,dist,mag,absmag,spect,ci,con
8187,N/A,21.403192,-12.878108,47.1032,5.480,2.115,F0V,"rgb(243, 186, 0)",Aqr
8156,N/A,21.404650,-69.733882,403.2258,6.280,-1.748,C5II,"rgb(255, 62, 0)",Pav
8177,N/A,21.405786,-46.614706,101.0101,6.300,1.278,A5m...,"rgb(237, 183, 0)",Ind
8197,N/A,21.406426,24.528393,146.6276,6.350,0.519,K0III,"rgb(255, 175, 192)",Vul
8191,N/A,21.406823,10.174252,113.6364,6.330,1.052,F5III,"rgb(255, 190, 247)",Equ
8180,N/A,21.406893,-41.006695,119.7605,5.760,0.368,A0III,"rgb(202, 166, 0)",Mic
8198,N/A,21.409445,26.174560,68.6342,5.670,1.487,A8III,"rgb(246, 188, 0)",Vul
8239,N/A,21.413729,80.524826,111.1111,5.970,0.741,G6III:,"rgb(255, 177, 201)",Cep
8192,N/A,21.414354,-3.398357,63.5728,6.380,2.364,F0III,"rgb(247, 188, 0)",Aqr
8206,N/A,21.415401,49.323128,184.8429,6.570,0.236,B9sp...,"rgb(211, 170, 0)",Cyg
8195,N/A,21.420285,-9.748552,91.8274,5.710,0.895,F0IV,"rgb(234, 181, 0)",Aqr
8199,N/A,21.421377,-3.556747,119.0476,5.480,0.101,K4III,"rgb(255, 164, 163)",Aqr
8159,N/A,21.421673,-71.799061,171.8213,6.090,-0.085,K2III,"rgb(255, 169, 176)",Pav
8208,N/A,21.422083,46.714341,33.4672,5.590,2.967,F0V,"rgb(247, 188, 0)",Cyg
8209,N/A,21.429729,36.667386,100000.0000,5.930,-14.070,B0Ib,"rgb(215, 172, 0)",Cyg
8203,N/A,21.430996,0.534340,74.2390,6.450,2.097,A1IV,"rgb(229, 179, 0)",Aqr
8188,N/A,21.437622,-54.660459,66.8449,6.100,1.975,F1III,"rgb(251, 190, 0)",Ind
8200,N/A,21.439680,-37.829429,80.8407,5.640,1.102,K2III,"rgb(255, 171, 182)",Mic
8181,N/A,21.440705,-65.366198,9.2618,4.210,4.377,F6V,"rgb(255, 189, 244)",Pav
8210,N/A,21.440739,19.375640,46.3607,6.080,2.749,A8m,"rgb(237, 183, 0)",Peg
8205,N/A,21.441126,1.103359,49.5050,6.120,2.647,F5V,"rgb(255, 190, 246)",Aqr
8204,N/A,21.444452,-22.411332,118.2033,3.770,-1.593,G4Ibp...,"rgb(255, 176, 197)",Cap
8218,N/A,21.445823,52.898537,137.3626,6.010,0.321,B6V,"rgb(189, 157, 0)",Cyg
8216,N/A,21.447668,48.835168,126.1034,5.290,-0.214,A6pe...,"rgb(223, 176, 0)",Cyg
8202,N/A,21.450454,-42.547930,56.4334,5.500,1.742,Am,"rgb(254, 191, 0)",Mic
8207,N/A,21.454117,-21.196210,171.8213,5.780,-0.395,K3III,"rgb(255, 165, 164)",Cap
